region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed
South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,Unknown,Organic,13.55,127,4942.95,28.699389,71.143305,0.65,Mild,0
North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,116,4629.49,23.069568,88.694125,0.42,Moderate,1
South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,Unknown,Mixed,49.93,124,2852.62,13.311414,76.980177,0.34,Mild,1
Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,96,5755.72,16.611648,87.794254,0.75,Mild,1
Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,90,3334.23,25.927834,75.239105,0.74,Severe,0
East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,147,5732.35,32.473116,74.201531,0.45,Healthy,1
Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,140,5723.26,16.670143,85.74749,0.36,Healthy,0
South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,107,3404.58,19.99196,89.622994,0.62,Healthy,1
North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,114,5598.02,16.368063,84.175706,0.3,Mild,1
Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,115,4788.83,13.182195,78.408927,0.86,Mild,1
East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,122,3892.74,33.9958,84.719229,0.7,Moderate,1
East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,144,5073.96,20.361025,82.595308,0.42,Severe,1
South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,Unknown,Organic,12.91,119,2200.87,32.93675,72.427172,0.38,Severe,1
East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,Unknown,Organic,38.46,106,5007.11,16.932784,85.553497,0.59,Mild,0
Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,94,3659.47,23.565279,78.315485,0.42,Severe,1
South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,137,4938.54,22.205737,75.458706,0.59,Severe,0
Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,119,2726.92,19.477597,74.233206,0.5,Severe,1
Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,102,5356.92,13.809559,72.524419,0.7,Mild,1
South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,133,5632.1,19.916361,84.300294,0.35,Mild,1
North India,Maize,39.76,6.7,17.42,295.96,79.13,6.08,Unknown,Mixed,21.68,111,2050.61,30.558273,72.110777,0.88,Severe,0
South India,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,Unknown,Inorganic,42.16,110,5406.85,33.365547,75.578565,0.57,Severe,1
East Africa,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,Manual,Inorganic,17.58,146,3105.07,22.915681,73.821128,0.44,Severe,0
South USA,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,Sprinkler,Inorganic,36.13,127,3476.08,20.637595,84.918709,0.5,Severe,0
Central USA,Maize,18.8,5.74,18.85,79.89,66.79,8.57,Sprinkler,Organic,14.74,136,4358.35,24.919769,89.610213,0.8,Moderate,1
South India,Maize,16.28,5.53,25.68,118.58,88.71,7.32,Sprinkler,Mixed,44.08,145,2049.06,21.734924,78.809376,0.41,Healthy,1
Central USA,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,Manual,Organic,49.73,138,3664.7,29.392338,77.607561,0.85,Moderate,1
East Africa,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,Sprinkler,Inorganic,34.72,101,4207.97,10.066893,79.010074,0.66,Moderate,1
North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,99,5633.65,11.785246,73.318456,0.48,Moderate,1
South USA,Wheat,26.4,6.11,23.05,118.06,67.0,6.63,Drip,Inorganic,38.05,91,2365.31,30.898965,81.503982,0.87,Moderate,1
East Africa,Wheat,36.71,5.85,25.38,160.56,53.91,9.98,Unknown,Mixed,41.64,112,3633.39,26.753338,87.154662,0.5,Severe,1
Central USA,Cotton,38.47,6.6,24.1,128.63,56.16,9.82,Unknown,Mixed,42.12,145,4170.37,11.355102,80.368788,0.67,Severe,1
South USA,Wheat,17.12,6.6,33.55,159.53,74.91,4.73,Sprinkler,Mixed,12.13,125,3631.96,34.806428,88.258598,0.58,Healthy,1
South India,Cotton,42.64,6.08,29.11,153.87,64.12,6.83,Unknown,Mixed,11.51,122,4985.17,31.600673,75.524948,0.77,Severe,0
Central USA,Soybean,19.35,5.51,29.52,259.37,69.0,7.96,Sprinkler,Inorganic,29.24,125,5051.49,21.383615,76.435547,0.41,Mild,1
East Africa,Cotton,18.17,7.05,15.87,236.18,75.26,8.87,Unknown,Mixed,40.66,121,5859.3,22.557279,81.803609,0.82,Severe,1
North India,Soybean,41.87,5.53,17.88,267.73,88.5,4.45,Manual,Inorganic,33.05,95,5407.06,31.483555,77.600188,0.49,Severe,0
East Africa,Wheat,31.61,5.97,28.69,121.84,51.37,4.54,Drip,Mixed,36.68,100,4776.0,11.149774,85.922869,0.48,Moderate,0
South USA,Rice,18.55,6.32,28.64,95.01,48.75,7.66,Unknown,Mixed,35.74,99,2928.75,16.349433,75.106534,0.31,Severe,1
Central USA,Soybean,15.53,6.38,21.91,196.89,71.95,6.55,Manual,Inorganic,43.04,144,3932.83,19.534107,77.179183,0.48,Moderate,1
North India,Cotton,19.61,6.63,28.72,236.17,42.45,7.64,Unknown,Inorganic,39.91,141,3409.28,25.522279,83.555289,0.73,Mild,1
North India,Wheat,20.81,6.38,26.59,233.09,44.51,5.77,Unknown,Organic,14.04,123,4007.18,30.761815,75.139402,0.79,Severe,1
Central USA,Maize,38.15,6.44,16.51,238.54,51.28,8.06,Unknown,Mixed,21.46,106,4146.29,19.214641,84.980232,0.46,Severe,1
Central USA,Wheat,33.62,6.44,27.39,285.79,56.4,7.66,Drip,Mixed,42.07,131,3633.18,11.13367,70.744243,0.9,Healthy,0
North India,Rice,41.05,5.77,24.07,217.62,77.16,9.68,Unknown,Mixed,38.4,131,2396.09,25.391305,88.781061,0.47,Moderate,0
South India,Cotton,25.56,5.97,22.25,295.23,58.37,9.41,Manual,Organic,22.92,150,5392.13,12.291836,74.242116,0.68,Healthy,1
North India,Maize,18.52,5.75,26.29,67.15,78.26,5.24,Sprinkler,Organic,19.79,147,4383.93,31.460153,72.89376,0.38,Moderate,1
South India,Wheat,33.14,5.55,15.3,247.5,51.9,5.94,Sprinkler,Inorganic,7.36,123,2454.6,21.906149,85.560341,0.61,Healthy,0
South USA,Soybean,17.75,6.73,29.54,277.19,72.95,5.81,Drip,Organic,49.94,133,2431.85,11.837268,71.61581,0.66,Healthy,1
South India,Maize,31.85,6.67,29.24,145.23,69.87,5.77,Unknown,Organic,40.69,131,4603.67,20.751749,87.76182,0.55,Severe,0
South USA,Cotton,35.54,6.13,21.25,113.72,87.68,8.12,Unknown,Organic,9.11,117,2386.26,19.316171,72.602309,0.34,Moderate,1
North India,Cotton,22.38,6.83,30.01,267.02,76.05,9.81,Manual,Inorganic,9.66,99,4626.95,31.181871,77.00228,0.63,Healthy,1
Central USA,Soybean,17.92,6.36,26.22,241.86,71.09,8.05,Drip,Mixed,46.81,91,2721.66,29.060238,88.43075,0.51,Mild,1
South India,Soybean,33.01,5.64,29.82,292.95,44.59,7.18,Unknown,Inorganic,25.41,109,4886.38,33.535186,81.924475,0.83,Mild,0
South India,Soybean,11.74,5.66,23.86,156.0,70.35,6.49,Sprinkler,Mixed,10.12,108,4712.87,22.165819,83.342651,0.33,Severe,1
East Africa,Wheat,10.27,6.1,19.22,84.31,52.78,5.97,Drip,Inorganic,38.62,114,4130.33,22.506559,86.667084,0.78,Healthy,1
South USA,Wheat,25.27,6.42,16.56,128.27,61.46,6.43,Unknown,Inorganic,10.18,100,5205.29,21.502423,83.792201,0.52,Severe,1
North India,Rice,25.25,6.3,16.57,267.63,77.29,5.33,Sprinkler,Organic,27.97,122,2775.61,18.734382,84.547582,0.79,Mild,1
South India,Wheat,15.13,5.89,27.05,240.05,72.78,5.06,Unknown,Inorganic,38.95,133,5696.62,31.606172,82.544348,0.39,Healthy,1
South USA,Cotton,32.1,7.09,26.83,137.99,43.71,6.77,Drip,Organic,21.59,131,5457.0,25.37521,80.141356,0.58,Healthy,0
South USA,Soybean,32.81,6.14,24.51,87.72,43.09,4.62,Manual,Mixed,8.79,92,2990.97,34.774651,80.481371,0.67,Moderate,0
Central USA,Maize,23.56,7.05,28.58,63.09,71.54,6.01,Manual,Organic,30.11,106,4894.93,34.110251,82.054016,0.39,Healthy,1
East Africa,Rice,42.09,6.12,28.12,215.53,46.45,8.25,Drip,Inorganic,30.15,111,5252.74,27.570772,88.942172,0.9,Healthy,0
South USA,Soybean,22.66,6.23,18.61,103.55,87.38,6.92,Sprinkler,Organic,11.97,140,2404.56,30.877996,87.673643,0.32,Moderate,1
East Africa,Rice,30.9,5.81,18.62,223.21,71.24,9.42,Unknown,Organic,23.49,105,5878.35,17.123198,84.97073,0.57,Mild,1
Central USA,Cotton,41.64,5.89,28.57,192.6,62.03,8.62,Unknown,Mixed,28.74,102,5205.04,31.825048,71.043596,0.59,Moderate,0
East Africa,Wheat,34.9,6.53,17.49,70.97,48.02,6.7,Sprinkler,Inorganic,9.13,118,5538.52,20.372423,77.929079,0.52,Severe,0
North India,Maize,17.86,6.14,16.98,228.68,56.76,4.88,Drip,Inorganic,46.28,143,2555.17,21.215037,70.105024,0.35,Moderate,1
South India,Rice,29.21,6.95,25.56,77.8,54.41,5.81,Drip,Organic,23.89,94,2443.43,24.918476,70.328707,0.61,Mild,1
South India,Maize,25.02,6.73,19.81,154.14,73.22,4.51,Manual,Organic,47.9,140,5953.33,19.761343,79.402702,0.68,Moderate,1
Central USA,Wheat,22.5,5.64,19.82,214.28,45.18,7.49,Manual,Organic,7.0,142,4571.18,34.52048,79.570623,0.41,Mild,1
North India,Cotton,11.29,5.9,30.82,271.45,55.78,5.86,Unknown,Mixed,26.3,131,2764.41,31.553463,70.956081,0.69,Moderate,1
North India,Maize,25.29,6.3,23.79,289.12,56.95,5.12,Unknown,Inorganic,46.59,141,2330.45,11.973175,82.049066,0.79,Moderate,1
Central USA,Wheat,12.8,6.82,21.13,200.66,61.31,8.14,Manual,Inorganic,6.91,117,3098.22,33.697609,71.500823,0.68,Moderate,1
East Africa,Rice,43.35,5.79,27.15,245.33,41.74,4.4,Manual,Inorganic,22.23,128,2613.75,33.720588,77.440268,0.76,Mild,0
East Africa,Maize,23.93,6.8,19.99,78.36,76.78,6.99,Unknown,Mixed,10.3,118,2858.28,17.139422,88.329578,0.59,Healthy,1
South India,Wheat,25.82,7.3,23.9,71.95,74.1,9.07,Manual,Mixed,20.63,124,3161.45,31.284051,84.236182,0.86,Mild,1
Central USA,Soybean,17.85,7.47,30.84,109.18,64.7,6.17,Manual,Inorganic,41.16,129,5536.99,17.732268,89.991901,0.73,Severe,1
South USA,Soybean,12.58,7.44,27.85,162.49,74.01,6.07,Sprinkler,Organic,24.47,97,4072.41,14.116427,76.453215,0.73,Moderate,1
East Africa,Maize,39.61,6.0,27.7,187.71,46.26,5.82,Drip,Mixed,33.84,99,2684.8,28.015819,82.102778,0.81,Healthy,0
North India,Wheat,11.59,6.78,26.54,212.78,78.35,6.5,Drip,Inorganic,45.0,131,5826.6,16.121948,86.146986,0.54,Severe,1
North India,Wheat,15.53,6.33,24.29,135.05,47.18,9.17,Manual,Mixed,49.46,98,5042.66,24.04128,76.382318,0.58,Moderate,1
South USA,Rice,14.93,5.6,33.91,266.04,60.91,9.78,Sprinkler,Inorganic,47.02,102,5052.49,34.899235,79.336302,0.83,Severe,1
North India,Wheat,43.08,6.51,34.33,103.79,57.64,4.3,Unknown,Mixed,44.71,120,3142.99,31.179309,78.618555,0.83,Moderate,0
South USA,Maize,11.58,5.6,26.24,140.63,54.43,6.32,Unknown,Mixed,17.59,129,2475.24,19.847593,85.897945,0.5,Moderate,1
South India,Rice,31.09,6.3,15.81,59.73,75.68,8.82,Unknown,Organic,32.28,110,5725.47,14.062551,89.812315,0.74,Moderate,1
East Africa,Maize,27.76,6.52,24.8,190.73,63.74,4.1,Manual,Mixed,9.93,109,5187.02,31.802478,82.58521,0.66,Moderate,1
East Africa,Soybean,17.96,5.6,24.61,181.06,76.06,8.65,Unknown,Organic,41.97,126,5792.82,14.769608,78.820771,0.55,Severe,1
South India,Cotton,27.56,6.72,24.43,262.09,76.37,8.23,Sprinkler,Mixed,19.63,123,3507.3,14.329561,88.242483,0.51,Moderate,1
Central USA,Soybean,26.95,7.41,20.58,124.62,87.07,9.89,Manual,Mixed,14.33,110,3919.21,33.342509,85.908107,0.46,Healthy,1
East Africa,Soybean,23.29,7.46,31.37,288.65,80.23,5.74,Manual,Mixed,8.56,106,4989.35,15.0517,80.771558,0.86,Moderate,1
South India,Wheat,31.55,6.67,19.85,217.46,66.55,7.83,Drip,Organic,23.6,96,4724.77,10.129536,81.007051,0.86,Severe,0
South USA,Cotton,32.77,7.01,20.74,121.35,42.96,8.61,Sprinkler,Mixed,38.24,116,5528.98,33.348065,70.726797,0.8,Severe,1
South India,Maize,40.69,5.52,26.36,76.83,89.15,5.71,Unknown,Organic,43.3,102,5235.26,14.062357,79.178289,0.45,Mild,0
North India,Maize,37.68,6.64,30.15,93.87,82.81,9.38,Unknown,Mixed,19.76,96,2739.12,21.936352,88.716508,0.3,Severe,1
South India,Cotton,36.38,7.41,21.04,230.72,40.57,7.92,Sprinkler,Organic,35.05,100,3621.67,33.07765,87.756028,0.76,Healthy,0
Central USA,Maize,31.51,5.94,17.67,88.3,77.39,7.63,Unknown,Mixed,29.72,124,5207.98,15.460291,74.949309,0.75,Healthy,0
East Africa,Cotton,28.49,6.22,33.34,78.05,81.44,9.42,Sprinkler,Mixed,29.15,144,4081.37,27.007381,84.338359,0.59,Severe,1
North India,Cotton,14.62,6.33,26.28,189.7,73.64,5.85,Drip,Inorganic,16.45,103,4313.25,20.592435,84.007698,0.62,Healthy,1
North India,Cotton,11.11,6.32,30.38,241.46,88.92,7.88,Unknown,Inorganic,49.68,145,5668.46,19.391138,83.654607,0.7,Mild,1
Central USA,Wheat,16.25,6.57,25.58,231.96,51.13,4.02,Drip,Inorganic,25.84,117,4127.73,15.741602,79.212506,0.39,Mild,1
North India,Wheat,38.33,6.34,30.32,270.94,40.78,5.24,Drip,Mixed,6.51,135,5488.85,28.513527,78.045307,0.44,Mild,0
North India,Rice,27.64,6.08,31.32,232.88,55.95,7.59,Manual,Organic,18.58,123,2884.17,16.878848,81.134362,0.66,Mild,1
South USA,Soybean,27.35,7.44,33.83,217.84,79.29,5.91,Unknown,Inorganic,11.71,138,4151.71,31.233523,76.014728,0.72,Severe,1
North India,Soybean,24.44,6.33,25.6,147.1,52.75,5.98,Drip,Inorganic,43.12,136,5317.63,16.71154,83.473438,0.66,Healthy,1
South India,Soybean,35.35,6.62,24.59,267.37,56.65,9.74,Drip,Organic,47.17,137,5998.29,32.861032,83.912526,0.72,Severe,1
South India,Soybean,21.26,6.07,24.33,212.18,55.42,6.16,Unknown,Inorganic,9.44,138,5358.92,19.267623,78.278603,0.64,Mild,1
South India,Wheat,19.13,7.37,26.58,154.39,47.62,5.98,Unknown,Mixed,42.5,131,5773.86,16.433169,86.431839,0.88,Severe,1
South USA,Rice,35.65,6.2,17.8,186.64,49.2,9.34,Drip,Mixed,6.52,132,2194.06,20.309806,86.850894,0.44,Mild,1
North India,Rice,27.7,6.25,27.36,216.69,70.83,6.9,Unknown,Organic,5.3,90,2066.9,23.393453,75.733771,0.6,Severe,1
South India,Wheat,42.13,6.55,19.82,204.95,52.62,6.13,Unknown,Organic,21.79,126,2972.83,15.646431,83.680833,0.81,Healthy,0
North India,Cotton,23.27,6.61,16.12,52.36,48.57,7.0,Unknown,Mixed,40.3,96,5579.16,15.744162,88.025459,0.72,Severe,1
Central USA,Wheat,42.35,6.87,20.61,185.76,72.91,5.08,Manual,Organic,48.27,138,5282.76,33.221874,75.985538,0.64,Severe,0
East Africa,Maize,23.43,6.98,30.81,222.33,43.92,8.47,Manual,Organic,9.4,94,3362.37,33.87146,77.934061,0.76,Healthy,1
Central USA,Cotton,27.17,6.21,33.82,157.96,73.98,7.96,Drip,Mixed,18.29,94,2328.15,19.5,85.677806,0.39,Severe,1
Central USA,Maize,13.73,5.51,21.17,139.98,53.49,4.8,Sprinkler,Inorganic,25.2,116,2413.17,18.847857,71.861285,0.66,Moderate,1
South USA,Wheat,20.21,6.28,16.69,275.28,85.26,9.87,Sprinkler,Mixed,22.13,109,3073.63,11.581679,78.693525,0.55,Severe,1
North India,Maize,18.81,5.99,27.5,198.45,49.78,4.64,Manual,Organic,47.7,129,3519.56,21.005573,78.612324,0.79,Mild,1
Central USA,Maize,31.11,6.89,24.58,94.41,59.91,5.91,Unknown,Mixed,40.19,107,5265.98,19.125388,88.641343,0.42,Mild,0
East Africa,Wheat,43.36,6.42,29.17,159.61,54.57,8.16,Unknown,Mixed,27.47,105,3010.73,27.88091,85.781535,0.34,Severe,0
East Africa,Cotton,28.7,7.35,32.39,154.58,41.84,9.81,Drip,Organic,39.6,112,2665.35,11.107417,89.672164,0.71,Severe,1
Central USA,Cotton,13.71,5.7,19.44,236.71,67.9,8.13,Sprinkler,Inorganic,21.84,133,4354.36,13.768623,89.954055,0.59,Moderate,1
South USA,Wheat,14.06,7.38,17.83,127.97,62.77,5.24,Unknown,Inorganic,26.43,134,3809.79,17.506602,86.203719,0.37,Moderate,1
North India,Rice,42.55,6.98,25.32,187.98,56.55,6.56,Unknown,Organic,40.9,101,4561.92,19.889559,84.747767,0.83,Severe,0
East Africa,Cotton,23.61,6.91,19.12,238.08,80.44,4.38,Drip,Mixed,13.41,119,2455.82,31.565914,80.5543,0.68,Severe,1
East Africa,Cotton,30.55,6.2,31.91,204.34,80.69,8.24,Manual,Mixed,31.56,110,2471.45,12.923723,77.466121,0.38,Severe,1
South USA,Soybean,14.83,6.27,18.72,208.88,74.67,7.87,Sprinkler,Mixed,12.51,101,3258.32,25.485249,87.310445,0.87,Severe,1
South India,Rice,38.53,7.43,25.11,173.74,74.23,6.49,Unknown,Inorganic,12.53,140,5044.23,10.817377,74.496868,0.47,Severe,0
East Africa,Cotton,29.24,5.73,17.28,243.78,81.16,6.2,Drip,Mixed,24.86,96,4943.95,28.783637,75.954179,0.9,Severe,1
Central USA,Maize,40.18,5.67,32.31,79.35,80.59,5.26,Manual,Mixed,32.46,129,2556.94,30.338247,86.10881,0.64,Moderate,0
East Africa,Soybean,15.89,7.46,20.85,193.18,87.62,7.09,Drip,Organic,48.32,107,5468.19,27.535663,72.653817,0.39,Moderate,1
South India,Cotton,27.13,6.65,20.37,153.56,62.6,7.8,Drip,Inorganic,28.2,149,5509.27,33.756352,76.545786,0.3,Healthy,1
South USA,Maize,39.75,7.09,22.95,292.03,81.24,6.97,Manual,Inorganic,20.2,126,5409.69,18.593491,83.651039,0.33,Healthy,0
South USA,Wheat,14.35,7.22,23.83,50.17,87.9,5.21,Sprinkler,Mixed,18.58,131,3441.74,19.296094,88.076005,0.4,Severe,1
Central USA,Rice,25.02,5.68,16.9,103.36,43.9,7.56,Unknown,Organic,5.36,97,5952.62,27.350775,79.554005,0.44,Healthy,1
North India,Wheat,20.97,7.26,17.74,243.37,77.66,4.8,Sprinkler,Organic,28.87,131,2656.47,28.060801,82.561601,0.39,Severe,1
East Africa,Cotton,40.1,5.67,17.01,238.11,69.48,6.3,Unknown,Inorganic,40.6,131,2336.99,29.474241,83.809522,0.81,Moderate,0
South India,Soybean,31.24,5.88,22.84,211.54,79.19,8.76,Sprinkler,Inorganic,22.36,130,4375.72,34.672063,88.678488,0.38,Severe,1
Central USA,Soybean,33.9,7.03,34.09,242.59,40.83,4.41,Manual,Organic,6.79,115,4026.44,27.815727,85.3422,0.55,Severe,0
North India,Soybean,28.82,5.81,16.67,69.76,86.05,9.85,Sprinkler,Mixed,19.7,138,5338.11,17.754237,78.749721,0.87,Mild,1
North India,Rice,13.02,6.37,24.07,202.21,55.46,8.45,Sprinkler,Organic,5.57,90,2655.33,23.075134,85.659742,0.73,Mild,1
Central USA,Rice,36.24,7.25,29.66,79.51,84.99,6.01,Unknown,Inorganic,28.57,126,4510.13,21.379944,77.202478,0.6,Mild,0
Central USA,Rice,18.93,5.71,26.48,230.69,51.42,7.05,Drip,Organic,16.0,114,5680.91,33.279002,87.149704,0.63,Severe,1
South India,Maize,18.69,7.33,21.4,256.5,68.58,4.72,Drip,Organic,15.04,115,2275.71,31.650806,85.47055,0.49,Healthy,1
East Africa,Cotton,10.28,5.9,26.28,125.98,71.14,6.78,Unknown,Organic,37.96,140,2980.51,33.309938,70.478205,0.62,Healthy,1
Central USA,Wheat,36.56,6.25,29.76,126.88,50.26,9.9,Unknown,Inorganic,48.25,107,2372.11,32.432187,80.395184,0.72,Moderate,1
South USA,Wheat,30.33,6.51,27.74,148.59,69.59,4.37,Sprinkler,Organic,18.13,115,4802.9,18.156289,79.055157,0.44,Mild,0
South India,Soybean,13.81,5.71,23.99,128.51,46.04,6.15,Sprinkler,Inorganic,18.87,97,2361.68,17.605375,84.094096,0.66,Mild,1
Central USA,Rice,13.19,6.0,22.11,178.36,73.86,5.56,Sprinkler,Organic,47.84,137,4200.48,21.551081,86.077935,0.38,Healthy,1
North India,Rice,14.58,7.15,22.44,207.57,72.23,7.49,Manual,Organic,5.98,147,4583.95,12.299466,86.945509,0.79,Healthy,1
North India,Cotton,11.77,7.35,23.66,231.11,64.81,6.3,Unknown,Organic,20.93,107,3784.05,10.866236,82.383531,0.45,Moderate,1
South USA,Cotton,40.9,6.46,16.75,145.75,60.96,7.86,Sprinkler,Mixed,49.73,91,5957.61,18.977803,80.890356,0.59,Moderate,0
South USA,Maize,16.29,6.14,19.38,273.94,78.93,4.35,Unknown,Mixed,21.08,100,2400.54,16.02882,80.673791,0.77,Healthy,1
South India,Soybean,39.63,7.09,22.1,259.81,82.26,5.06,Manual,Mixed,36.39,135,4802.24,24.077722,73.764673,0.89,Severe,0
East Africa,Maize,16.14,5.58,16.12,200.42,41.0,6.87,Manual,Mixed,14.07,135,2709.84,11.488899,72.95424,0.72,Mild,1
North India,Soybean,40.12,7.42,22.47,285.48,59.78,4.61,Manual,Inorganic,11.14,150,3747.47,26.229507,73.484053,0.88,Moderate,0
South India,Soybean,38.51,6.26,29.68,123.63,48.89,4.01,Unknown,Mixed,6.46,148,5235.23,25.991169,72.082205,0.6,Moderate,0
North India,Rice,22.14,6.14,27.72,290.77,81.08,8.02,Manual,Inorganic,5.51,134,2271.18,29.6755,84.408272,0.33,Severe,1
South USA,Rice,40.96,6.49,22.57,186.51,45.07,6.88,Sprinkler,Organic,25.31,91,3274.87,11.85501,73.402104,0.53,Healthy,0
East Africa,Wheat,21.83,7.47,32.86,226.13,61.57,7.92,Unknown,Organic,7.41,102,3637.12,28.050953,84.59948,0.46,Moderate,1
Central USA,Rice,13.36,6.29,25.99,172.74,42.73,4.02,Drip,Inorganic,42.08,120,2798.7,15.173825,82.763813,0.89,Severe,1
North India,Maize,37.47,6.44,32.9,116.25,72.09,6.33,Manual,Inorganic,21.62,106,3758.96,15.656057,75.37124,0.34,Healthy,0
North India,Maize,38.29,6.33,30.13,106.88,43.05,6.32,Unknown,Mixed,35.92,146,2942.57,11.973876,88.055544,0.73,Mild,0
North India,Cotton,16.05,7.47,34.44,252.12,46.31,6.54,Unknown,Organic,49.88,143,4380.19,32.770112,88.283479,0.34,Severe,1
East Africa,Cotton,29.32,7.21,25.39,279.29,40.62,8.2,Unknown,Organic,23.65,127,4330.71,33.123204,81.253675,0.36,Moderate,1
East Africa,Maize,40.73,6.03,28.1,193.01,63.65,5.03,Unknown,Organic,32.82,115,2155.13,31.973941,83.810275,0.33,Severe,0
Central USA,Maize,10.71,7.13,21.06,120.09,64.58,8.18,Drip,Organic,11.05,139,5303.29,28.219985,82.099583,0.35,Severe,1
South India,Cotton,35.93,7.02,32.34,255.25,65.76,4.95,Manual,Mixed,27.81,144,4097.14,14.343434,87.503611,0.42,Healthy,0
South India,Wheat,25.98,7.34,29.09,118.49,81.18,7.03,Drip,Mixed,6.38,128,3784.41,24.672006,76.995198,0.4,Moderate,1
North India,Maize,10.96,5.6,32.08,244.96,50.72,5.33,Sprinkler,Mixed,14.3,122,2080.21,34.178459,83.643995,0.58,Mild,1
South India,Soybean,38.03,5.95,27.17,285.75,75.64,8.26,Manual,Inorganic,45.3,106,2872.84,26.929904,86.486216,0.54,Healthy,1
North India,Soybean,44.98,7.43,31.79,190.36,69.69,5.7,Drip,Inorganic,7.87,110,5445.97,26.40299,89.043756,0.69,Mild,0
South India,Soybean,36.79,7.3,31.11,250.59,70.0,7.96,Sprinkler,Mixed,6.15,106,5627.65,19.706873,70.70638,0.72,Mild,0
Central USA,Rice,34.02,6.78,24.51,285.17,57.92,5.8,Sprinkler,Mixed,44.44,96,3883.12,16.466296,86.166877,0.76,Mild,0
