region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed,Heat_Stress,Soil_Health,Water_Amount_Liters,Recommended_Fertilizer,Irrigation_Time,Rain_Impact,Farm_Efficiency
3,0,27.47,6.27,25.69,237.87,84.42,3.57,1,1,32.47,114.57,5353.97,13.26,70.4,0.34,0,1,1,2,20,2,2,0,0
1,0,21.52,7.31,20.28,124.12,42.96,9.36,1,1,23.89,93.56,6019.26,29.55,71.16,0.93,2,1,1,2,20,3,2,0,2
3,1,44.86,7.23,14.82,72.85,56.04,9.14,1,2,0.92,113.37,3209.87,10.23,76.9,0.42,1,0,1,0,10,2,0,0,0
4,4,27.18,6.82,21.02,246.97,80.54,6.71,0,1,20.32,94.21,5190.75,33.41,88.81,0.34,1,1,1,2,20,2,2,0,0
3,3,34.17,5.28,27.21,300.73,42.67,6.79,3,0,24.95,115.52,4832.2,33.11,81.71,0.83,1,0,1,0,20,1,2,0,2
4,2,39.9,5.49,13.96,132.4,73.59,6.28,3,2,30.13,89.01,2581.5,14.21,87.78,0.8,2,0,1,0,10,1,0,0,0
2,4,22.09,7.43,22.19,161.82,55.02,3.3,3,1,33.07,137.39,2331.21,26.79,88.41,0.65,0,1,1,2,20,3,2,0,0
4,0,36.73,6.03,19.1,209.85,38.94,10.37,0,0,22.19,117.18,5454.4,26.72,89.43,0.46,3,1,1,0,10,0,0,0,2
0,4,19.99,6.06,30.62,165.89,82.15,5.96,1,0,40.02,153.1,4374.5,21.87,73.78,0.34,3,1,1,2,30,0,2,0,0
2,4,15.27,6.29,27.15,212.99,69.99,7.28,0,0,46.32,134.75,5835.47,16.28,86.02,0.5,3,1,1,2,30,0,2,0,2
2,2,12.2,6.57,32.39,72.69,78.68,6.79,2,1,16.83,101.0,5758.09,15.27,84.9,0.68,0,1,2,2,30,3,2,0,2
2,1,12.09,7.54,15.0,66.17,78.63,8.26,2,1,3.57,148.48,4934.26,34.34,78.58,0.77,2,1,1,2,30,3,0,0,2
1,2,37.25,7.04,32.71,93.6,86.94,8.44,0,0,40.22,99.93,4302.22,17.4,84.74,0.83,1,1,2,0,10,3,2,0,2
3,0,37.87,5.82,20.78,244.62,40.53,7.01,0,0,25.0,95.78,5697.45,23.09,70.77,0.86,3,0,1,0,10,1,2,0,2
2,1,28.04,8.03,17.82,217.52,60.85,5.77,0,1,16.99,117.61,3865.91,20.15,76.81,0.82,0,1,1,2,20,3,0,0,2
2,0,14.79,6.83,25.55,216.81,50.8,4.98,3,2,13.31,113.64,5242.16,32.78,89.08,0.41,1,1,1,2,30,2,2,0,0
0,3,31.96,5.68,28.06,129.17,73.32,9.61,1,0,47.37,116.72,3474.98,18.85,86.22,0.83,0,1,1,0,20,1,2,0,2
2,4,10.85,7.26,23.46,158.82,52.69,3.05,3,1,31.51,132.35,2584.95,26.87,87.99,0.53,0,1,1,2,30,3,2,0,0
2,2,27.59,6.2,32.1,222.71,68.96,8.78,1,2,19.23,122.32,2953.36,16.97,81.22,0.71,1,1,2,2,20,3,2,0,0
1,0,11.46,6.9,14.53,240.61,69.91,8.23,3,1,45.88,113.3,5973.05,22.99,81.51,0.8,3,1,1,2,30,0,0,0,2
1,0,13.47,5.58,21.11,242.86,76.95,4.77,2,2,42.26,112.03,3213.71,34.14,75.93,0.46,1,1,1,2,30,1,2,0,0
4,4,33.99,5.76,37.77,270.05,54.36,4.57,2,2,25.33,116.91,3224.29,14.6,78.45,0.6,2,0,2,0,20,1,1,0,0
2,1,41.5,6.73,17.67,296.38,78.84,7.44,3,1,17.11,112.26,1881.67,30.59,72.23,0.89,3,0,1,0,10,0,0,0,0
3,2,36.86,7.4,27.59,250.35,89.73,7.86,3,0,16.11,121.27,3285.08,12.48,81.46,0.61,2,0,1,0,10,3,2,0,0
2,1,26.27,6.09,15.42,197.97,56.32,5.41,3,1,6.8,115.05,3296.34,27.58,85.83,0.38,3,1,1,2,20,0,0,0,0
3,2,43.0,7.4,25.42,179.52,68.93,6.07,3,0,13.76,136.09,5150.09,10.89,74.54,0.47,3,0,1,0,10,0,2,0,2
0,4,15.37,5.75,21.76,231.53,72.01,7.2,0,2,11.72,108.46,5040.23,31.83,71.79,0.3,0,1,1,2,30,1,2,0,0
2,0,3.06,5.86,29.19,291.7,49.53,6.47,3,1,29.4,131.6,2807.67,31.51,71.27,0.73,2,1,1,2,30,1,2,0,0
0,3,31.98,6.8,23.18,252.31,64.25,9.56,2,2,10.03,112.46,5661.27,20.44,70.62,0.58,0,1,1,0,20,3,2,0,2
2,0,18.24,6.98,22.46,67.28,53.06,8.15,1,1,14.81,100.45,4821.31,29.44,81.2,0.62,3,1,1,2,30,0,2,0,0
0,1,2.24,7.0,23.14,113.46,61.15,8.42,0,2,14.32,133.55,5195.2,28.18,82.23,0.36,3,1,1,2,30,0,2,0,0
1,3,33.98,6.18,26.05,126.87,72.17,6.34,1,0,16.83,151.02,3225.96,22.84,74.01,0.42,3,0,1,0,20,0,2,0,0
4,2,23.99,5.13,11.24,56.46,79.96,5.91,3,0,43.17,101.21,3235.78,19.09,76.18,0.25,0,1,1,2,20,1,0,0,0
1,2,27.6,6.2,28.74,119.32,46.51,4.25,0,1,15.32,97.79,3979.58,22.02,81.85,0.65,3,1,1,2,20,0,2,0,0
3,4,13.46,6.5,30.79,174.65,86.76,7.26,1,0,27.3,104.63,3647.55,34.98,72.41,0.85,1,1,1,2,30,3,2,0,0
0,3,35.59,5.27,22.48,203.75,37.65,6.21,2,0,15.17,114.09,4391.98,11.15,75.8,0.67,0,0,1,0,10,1,2,0,2
0,2,13.94,7.41,23.09,109.82,73.42,5.95,3,0,48.02,128.11,3279.68,21.21,85.26,0.65,0,1,1,2,30,3,2,0,0
0,3,29.97,7.02,21.01,262.65,60.95,9.71,2,2,14.24,101.74,5629.93,20.77,70.39,0.49,0,1,1,2,20,2,2,0,2
1,1,25.56,6.19,22.15,201.56,64.85,4.17,1,1,11.96,114.46,5153.3,31.86,82.96,0.7,2,1,1,2,20,3,2,0,2
3,3,31.42,6.34,30.58,286.07,82.97,7.79,1,0,44.77,97.21,2832.78,27.19,86.44,0.4,0,1,1,0,20,2,2,0,0
4,0,25.48,7.38,26.9,289.48,64.93,5.25,0,0,10.57,124.88,5070.4,26.94,74.86,0.52,2,1,1,2,20,3,2,0,0
0,2,35.47,6.72,16.77,75.47,58.7,5.55,1,0,47.25,137.67,2175.46,31.26,89.19,0.34,3,0,1,0,10,0,0,0,0
0,0,11.86,6.75,20.73,124.14,77.24,8.59,1,1,18.95,107.21,4888.69,13.42,78.41,0.8,1,1,1,2,30,3,2,0,2
3,4,31.52,7.3,21.02,197.79,70.31,10.18,2,0,22.59,132.36,5216.74,19.82,88.88,0.7,0,1,1,0,20,3,2,0,2
1,4,28.17,6.06,18.56,64.85,45.11,6.13,2,0,8.75,123.69,5540.43,20.16,78.15,0.55,3,0,1,2,20,0,0,0,2
1,1,27.46,6.45,19.52,230.83,65.34,9.62,3,2,10.16,95.91,2189.61,13.9,79.32,0.46,3,1,1,2,20,0,0,0,0
1,3,29.61,6.39,30.03,61.4,86.68,5.1,2,1,15.09,88.64,5869.26,27.05,85.48,0.33,3,0,1,2,20,0,2,0,2
0,3,24.8,7.32,23.67,228.36,61.98,9.02,1,2,40.19,135.8,5670.23,27.42,70.75,0.8,1,1,1,2,20,3,2,0,2
2,0,20.74,6.93,25.28,181.16,88.6,9.86,0,0,8.91,132.03,2600.08,30.71,81.19,0.66,1,1,1,2,20,3,2,0,0
3,3,41.01,7.54,34.68,253.67,72.03,8.26,2,1,6.41,112.25,5544.56,19.93,70.69,0.77,1,0,2,0,10,3,1,0,2
0,2,31.07,6.08,21.61,240.95,43.05,10.45,2,2,54.89,127.24,2590.1,13.42,70.87,0.84,1,1,1,0,20,3,2,0,0
0,1,14.16,6.07,32.92,107.06,60.13,5.21,3,2,30.96,122.02,5496.72,26.18,77.9,0.61,2,1,2,2,30,3,2,0,2
4,0,38.75,6.27,18.37,134.78,64.12,7.73,2,1,47.44,90.09,5997.21,18.78,80.77,0.65,2,0,1,0,10,3,0,0,2
2,3,11.21,6.3,30.0,60.2,52.83,9.78,0,2,13.91,131.66,3988.61,33.43,79.49,0.53,3,1,1,2,30,0,2,0,0
0,4,14.52,5.81,32.76,148.99,88.3,5.57,1,0,40.45,142.2,4928.12,21.86,74.19,0.39,3,1,2,2,30,1,2,0,0
1,0,18.78,6.58,27.9,216.65,84.36,6.18,2,0,28.34,89.0,4350.73,10.16,79.42,0.65,2,1,1,2,30,3,2,0,0
1,3,10.71,7.11,18.02,77.61,81.85,8.62,0,1,45.91,107.46,2866.4,16.79,89.36,0.7,1,1,1,2,30,3,0,0,0
0,1,47.48,6.05,21.46,245.33,55.3,6.98,0,0,44.65,145.1,5000.38,12.93,77.11,0.8,3,0,1,1,10,0,2,0,2
2,4,41.91,6.54,36.14,113.19,53.28,5.0,3,1,45.13,113.79,3200.08,30.94,78.54,0.83,2,0,2,0,10,3,1,0,2
1,2,32.33,6.02,25.61,301.61,45.99,4.86,3,0,34.34,99.43,4140.85,27.34,88.56,0.57,2,0,1,0,20,3,2,0,0
3,3,24.41,5.68,27.63,285.06,36.74,7.39,3,0,23.14,108.94,4803.75,33.39,81.91,0.78,1,0,1,2,20,1,2,0,2
2,4,17.79,6.72,19.52,207.12,53.51,8.43,2,1,31.59,122.73,5165.6,27.92,89.65,0.37,0,1,1,2,30,2,0,0,0
3,0,40.7,7.08,24.77,207.23,36.22,4.98,0,0,19.89,126.71,3258.42,21.98,82.31,0.51,3,0,1,0,10,0,2,0,0
1,1,19.88,5.76,15.12,204.14,37.98,6.86,1,1,12.4,131.29,2788.71,11.53,73.04,0.74,1,1,1,2,30,1,0,0,0
2,2,34.22,6.08,29.87,244.28,54.59,8.07,1,2,20.38,131.02,2896.44,16.98,80.7,0.59,1,1,1,0,20,3,2,0,0
1,3,26.43,6.8,26.86,243.87,80.29,5.41,1,2,4.68,134.95,5261.16,30.16,89.65,0.62,2,1,1,2,20,3,2,0,2
0,0,10.06,7.29,21.72,160.11,55.0,5.66,3,1,12.87,136.53,5928.22,17.27,86.35,0.9,3,1,1,2,30,0,2,0,2
1,1,19.63,6.74,21.84,188.76,45.38,8.21,2,0,22.37,124.51,5938.35,23.58,71.45,0.77,1,1,1,2,30,3,2,0,2
0,2,42.94,5.9,30.46,209.63,81.33,8.62,0,1,36.33,149.23,2104.79,23.73,89.67,0.55,1,0,1,0,10,1,2,0,0
3,1,23.44,6.69,19.93,163.54,67.91,5.37,1,2,49.32,141.48,5840.27,19.85,79.56,0.66,2,1,1,2,20,3,0,0,2
2,2,18.09,7.03,34.25,241.93,54.78,11.59,2,2,22.96,110.77,3473.97,23.01,83.39,0.34,1,1,2,2,30,2,1,0,0
2,4,30.22,6.79,20.3,240.51,59.19,8.93,3,0,9.73,125.13,2427.23,34.04,74.04,0.29,1,1,1,0,20,2,2,0,0
2,0,28.24,6.54,23.58,33.27,53.98,8.38,1,1,10.62,112.42,4884.12,29.23,81.64,0.52,3,1,1,2,20,0,2,1,0
1,4,29.88,5.81,30.38,114.03,49.73,3.57,0,1,38.35,101.31,4728.3,11.09,86.03,0.55,2,0,1,2,20,1,2,0,2
0,4,28.29,5.82,26.9,119.78,57.55,9.84,3,0,46.47,108.67,2419.03,32.12,80.25,0.78,2,1,1,2,20,1,2,0,0
4,0,29.29,6.5,29.71,212.08,82.62,7.47,0,1,3.28,133.84,1998.45,25.88,87.67,0.32,2,1,1,2,20,2,2,0,0
2,2,17.07,6.05,32.36,233.53,50.88,9.63,2,2,27.56,115.63,3422.13,23.13,83.4,0.46,1,1,2,2,30,2,2,0,0
0,0,16.97,5.9,27.44,205.27,70.97,5.09,1,2,34.99,113.16,3839.11,17.74,81.08,0.43,0,1,1,2,30,1,2,0,0
3,1,44.09,6.59,14.6,280.75,48.85,7.87,1,0,2.86,146.75,3352.38,33.46,88.0,0.32,1,0,1,0,10,2,0,0,0
1,2,6.81,5.78,31.16,282.03,44.72,7.83,3,1,43.86,148.25,2960.19,16.09,85.98,0.74,3,1,1,2,30,1,2,0,0
0,2,26.4,7.44,18.81,70.86,81.5,9.01,1,0,40.55,127.79,2328.54,10.11,72.9,0.66,2,1,1,2,20,3,0,0,0
4,2,41.61,6.28,19.11,286.09,71.81,5.66,1,1,23.03,103.44,2468.74,29.21,76.65,0.33,1,0,1,0,10,2,0,0,0
4,4,17.54,7.23,25.85,55.7,84.08,6.13,2,1,21.52,126.18,3255.3,19.43,88.55,0.41,3,1,1,2,30,0,2,0,0
4,2,36.24,6.43,16.06,165.92,51.59,10.06,0,1,8.16,136.44,2132.43,20.2,87.35,0.38,1,1,1,0,10,2,0,0,0
1,3,26.84,6.1,24.68,59.35,78.96,4.32,2,1,21.82,90.36,5807.27,27.28,85.97,0.4,3,0,1,2,20,0,2,0,2
4,2,21.98,7.75,15.38,150.53,46.87,7.15,3,2,7.71,99.69,2570.45,21.99,72.39,0.69,3,1,1,2,20,0,0,0,0
3,4,17.19,6.01,31.14,244.18,67.64,5.72,3,0,41.32,131.3,5720.69,31.45,82.46,0.46,0,1,1,2,30,2,2,0,0
2,2,14.89,6.18,32.06,238.38,60.69,8.87,2,2,24.17,112.0,3500.4,23.34,83.01,0.37,1,1,2,2,30,2,2,0,0
3,0,23.62,6.87,22.63,241.69,68.94,8.05,2,1,20.83,123.56,3639.55,14.55,88.24,0.52,2,1,1,2,20,3,2,0,0
3,1,44.49,6.87,15.37,305.4,51.47,8.16,1,0,12.69,151.11,3257.68,33.94,87.77,0.37,1,0,1,0,10,2,0,0,0
0,1,20.73,5.98,36.82,227.54,70.57,4.1,2,2,24.31,134.66,4092.25,31.04,85.9,0.49,0,1,2,2,20,1,1,0,0
4,3,18.4,6.42,21.04,149.94,78.99,7.6,2,2,35.0,115.06,4665.17,31.42,76.61,0.74,3,1,1,2,30,0,2,0,2
3,1,39.56,7.66,15.16,75.65,55.06,7.27,1,2,8.98,113.8,3426.72,9.99,76.81,0.45,1,0,1,0,10,2,0,0,0
2,1,12.06,6.93,19.02,65.39,78.05,8.7,2,1,6.59,144.99,4403.66,34.12,78.39,0.78,2,1,1,2,30,3,0,0,0
0,0,36.15,7.35,30.66,304.61,70.65,7.49,3,0,27.59,141.96,2272.34,12.82,70.43,0.68,1,0,1,0,10,3,2,0,0
4,2,7.9,6.15,21.28,114.01,78.87,8.89,1,2,40.26,132.22,6087.87,25.35,85.42,0.62,0,1,1,2,30,3,2,0,2
4,4,20.5,7.54,21.12,63.6,57.18,5.12,1,1,13.33,139.06,3117.27,14.48,81.1,0.31,3,1,1,2,20,0,2,0,0
3,2,46.07,7.15,23.98,167.13,73.46,6.08,3,0,13.66,140.31,4988.18,11.17,74.5,0.44,3,0,1,1,10,0,2,0,2
2,1,31.31,6.87,20.54,72.37,78.0,7.67,2,1,9.64,143.58,4730.52,34.22,78.34,0.92,2,1,1,0,20,3,2,0,2
1,0,12.71,6.27,22.52,282.86,79.12,5.53,2,2,39.2,107.88,3147.18,33.66,75.66,0.42,1,1,1,2,30,2,2,0,0
3,0,34.22,7.35,18.63,187.03,84.27,8.1,0,2,22.3,131.53,2627.67,21.57,81.95,0.41,2,1,1,0,20,2,0,0,0
2,1,31.45,7.28,30.72,84.19,57.74,9.55,1,0,37.89,117.92,3253.31,16.28,70.77,0.59,2,1,1,0,20,3,2,0,0
3,1,41.55,7.54,26.69,170.74,42.87,5.18,2,1,24.51,116.76,5176.08,32.58,70.62,0.66,2,0,1,0,10,3,2,0,2
0,3,33.13,6.11,28.0,91.21,93.63,8.49,2,0,5.92,149.55,5790.0,16.51,85.82,0.34,0,0,1,0,20,2,2,0,2
3,4,12.27,5.26,26.0,221.77,70.06,5.64,3,0,38.68,135.19,5647.7,31.38,82.32,0.33,0,1,1,2,30,1,2,0,0
2,0,30.44,6.49,17.61,51.51,53.17,8.01,3,1,41.9,100.62,5663.83,15.57,88.12,0.65,3,1,1,0,20,0,0,0,2
2,1,13.29,5.74,24.54,65.42,76.36,4.78,2,2,19.53,136.71,4466.09,31.61,72.57,0.41,2,1,1,2,30,1,2,0,0
0,0,14.07,7.15,32.75,113.09,60.83,7.97,3,0,30.65,140.95,5836.15,29.26,72.96,0.39,1,1,2,2,30,2,2,0,0
0,0,15.25,6.93,24.41,151.64,61.22,5.49,3,1,15.37,140.03,5845.25,17.26,86.28,0.92,3,1,1,2,30,0,2,0,2
1,3,40.45,6.48,25.05,258.59,83.16,5.45,1,1,46.34,146.84,5479.9,11.58,87.76,0.48,0,0,1,0,10,2,2,0,2
4,2,15.09,6.02,19.94,86.36,76.97,10.35,1,2,45.21,125.1,5947.29,25.05,85.47,0.64,0,1,1,2,30,3,0,0,2
4,2,18.32,7.25,24.75,180.84,70.23,8.58,3,0,42.63,96.19,3814.57,20.69,78.44,0.76,0,1,1,2,30,3,2,0,0
1,3,30.41,6.88,24.6,262.21,84.22,5.56,1,2,3.49,130.21,5198.69,30.2,90.22,0.69,2,1,1,0,20,3,2,0,2
2,2,29.89,6.18,34.83,63.02,46.54,5.11,2,0,14.48,98.44,5652.98,11.9,73.24,0.56,2,1,2,2,20,3,1,0,2
4,4,39.46,6.74,17.95,184.16,91.56,3.54,0,2,35.3,105.94,5417.14,24.35,84.73,0.92,0,0,1,0,10,3,0,0,2
3,1,42.12,7.18,22.46,233.57,55.86,9.21,2,2,39.88,142.92,5497.14,9.98,88.66,0.75,0,0,1,0,10,3,2,0,2
0,0,17.8,5.77,16.83,183.35,29.78,7.86,2,0,32.75,106.96,2198.75,29.95,83.72,0.97,3,1,1,2,30,1,0,0,0
1,3,24.62,6.19,26.46,246.19,92.36,5.08,1,2,7.06,134.5,5092.54,30.42,90.15,0.52,2,1,1,2,20,3,2,0,0
4,4,12.13,6.82,35.17,237.36,72.01,5.59,0,1,25.06,129.35,5083.26,29.69,80.15,0.8,3,1,2,2,30,0,1,0,2
0,3,20.6,5.45,29.75,272.33,75.26,9.64,2,0,30.5,121.52,5169.8,21.28,76.54,0.29,1,1,1,2,20,1,2,0,0
1,3,44.08,5.63,17.43,65.4,62.75,4.75,0,1,32.89,111.74,5734.08,12.73,89.86,0.46,2,0,1,0,10,1,0,0,2
0,1,46.5,5.73,24.63,243.61,53.82,7.6,0,0,46.3,139.61,4930.2,12.77,77.26,0.86,3,0,1,1,10,1,2,0,2
2,2,12.53,6.23,22.76,215.6,64.46,8.21,2,2,7.03,94.05,2629.93,23.17,85.5,0.7,1,1,1,2,30,3,2,0,0
0,1,12.88,5.54,28.85,239.55,70.56,6.93,0,1,28.7,97.28,4622.23,30.23,82.7,0.4,0,1,1,2,30,1,2,0,0
0,1,15.23,7.19,27.37,201.84,84.13,7.49,0,1,40.99,92.47,5961.69,16.38,87.73,0.76,1,1,1,2,30,3,2,0,2
2,1,44.46,5.76,31.15,108.62,47.1,4.4,3,1,41.19,142.35,2838.89,11.73,88.11,0.75,1,0,1,0,10,1,2,0,0
0,2,35.03,5.45,29.13,202.42,76.93,8.98,0,1,32.93,143.06,2166.24,23.52,89.86,0.6,1,0,1,0,10,1,2,0,0
2,1,30.92,7.72,20.87,285.49,87.58,4.98,2,0,43.23,95.98,4430.36,30.58,74.09,0.97,1,0,1,0,20,3,2,0,2
0,1,29.57,5.89,19.88,92.97,75.64,7.69,3,1,30.79,122.05,5069.03,15.55,74.89,0.69,0,0,1,2,20,1,0,0,2
3,2,35.04,7.43,23.18,187.19,78.66,8.45,3,0,9.43,133.91,5223.86,10.76,74.36,0.52,3,0,1,0,10,0,2,0,2
2,1,30.92,6.34,32.12,223.14,67.23,9.72,1,0,43.79,93.09,3490.4,26.52,74.1,0.73,1,1,2,0,20,3,2,0,0
2,3,36.44,6.75,18.12,261.25,54.94,6.0,3,2,2.01,98.12,3574.26,18.98,75.61,0.79,3,0,1,0,10,0,0,0,2
3,3,47.09,7.41,28.63,223.16,97.96,3.71,1,0,41.52,137.39,4336.88,21.98,80.03,0.81,1,0,1,1,10,3,2,0,2
1,4,9.04,7.24,27.39,91.31,32.78,6.71,2,0,9.86,145.78,5743.39,32.48,74.57,0.52,0,1,1,2,30,3,2,0,0
3,3,27.12,6.25,27.69,281.8,64.47,9.75,0,2,49.66,137.96,5869.67,32.82,83.95,0.71,3,1,1,2,20,0,2,0,2
2,3,15.8,5.41,18.05,192.67,42.72,6.47,1,2,40.85,134.1,4295.68,26.81,87.79,0.39,3,1,1,2,30,1,0,0,0
0,0,16.3,6.15,13.93,180.23,92.91,6.45,0,1,8.11,104.09,5534.0,13.87,72.83,0.69,1,1,1,2,30,3,0,0,2
4,2,27.13,6.91,25.37,174.71,74.53,7.79,3,0,36.61,96.94,3701.32,20.11,78.59,0.81,0,1,1,2,20,3,2,0,2
0,1,49.6,5.87,32.21,83.22,82.89,4.97,1,1,35.65,133.4,2690.56,30.15,85.91,0.59,2,0,2,1,10,1,2,0,0
0,0,51.81,6.94,26.75,213.96,73.0,9.65,3,2,14.97,94.3,2362.57,28.57,89.13,0.68,0,0,1,1,5,3,2,0,0
2,4,16.27,7.18,21.31,240.13,79.7,4.58,2,2,27.7,134.46,2575.64,28.18,82.51,0.49,3,1,1,2,30,0,2,0,0
0,0,18.75,5.97,29.12,233.28,71.1,6.95,1,2,36.22,116.61,3989.4,17.55,81.17,0.5,0,1,1,2,30,1,2,0,0
3,1,24.3,7.75,26.88,83.18,65.44,5.88,2,1,37.05,90.38,2684.7,10.93,76.33,0.39,2,1,1,2,20,2,2,0,0
0,3,21.71,6.45,27.09,248.78,72.88,7.12,0,1,45.35,98.28,2775.97,29.02,88.51,0.46,1,1,1,2,20,2,2,0,0
3,4,30.02,5.81,28.49,261.33,58.64,3.27,3,2,19.58,112.62,3511.09,24.63,70.18,0.86,2,0,1,0,20,1,2,0,2
2,1,38.96,6.8,30.01,86.73,54.73,10.08,1,0,41.2,110.01,3271.08,16.23,70.95,0.66,2,1,1,0,10,3,2,0,0
0,1,10.28,6.33,23.72,286.83,73.44,7.83,2,1,28.24,122.19,4937.27,30.33,82.74,0.72,2,1,1,2,30,3,2,0,2
0,3,39.25,5.49,18.08,263.52,65.34,9.33,0,2,44.03,135.22,2285.76,19.6,84.57,0.82,3,1,1,0,10,1,0,0,0
0,0,33.67,7.52,34.26,297.95,76.74,7.73,3,0,35.27,149.69,2251.45,12.52,70.37,0.68,1,0,2,0,20,3,1,0,0
2,1,32.9,6.8,34.12,215.3,70.6,9.56,1,0,33.22,79.77,3781.41,26.56,74.18,0.8,1,1,2,0,20,3,1,0,2
3,2,23.15,6.71,29.4,110.88,74.8,8.9,2,2,14.91,129.58,3379.77,34.5,82.63,0.85,2,1,1,2,20,3,2,0,0
3,1,33.21,7.09,28.29,258.9,56.69,10.36,1,2,37.97,102.36,5909.14,11.78,80.08,0.49,3,1,1,0,20,0,2,0,2
2,3,27.86,7.43,24.3,155.75,84.42,7.56,3,1,8.26,90.05,4166.88,21.27,72.63,0.79,3,1,1,2,20,0,2,0,2
2,2,15.48,6.84,21.21,195.21,72.07,6.69,1,2,7.1,142.37,4802.15,12.35,86.81,0.82,0,1,1,2,30,3,2,0,2
2,1,25.06,6.51,20.14,291.29,59.89,4.76,3,0,48.82,146.19,2564.55,12.05,82.3,0.7,2,1,1,2,20,3,2,0,0
3,3,42.44,6.33,28.96,116.64,47.51,3.22,3,1,7.42,152.8,5089.99,26.2,71.93,0.59,2,0,1,0,10,3,2,0,2
4,2,39.62,5.61,30.13,264.53,50.01,8.21,0,2,40.04,111.81,4027.35,31.85,87.9,0.34,0,0,1,0,10,1,2,0,0
0,1,30.87,6.47,11.23,258.78,57.01,7.86,3,1,21.43,106.55,4019.13,19.17,85.17,0.43,3,1,1,0,20,0,0,0,0
0,3,22.19,5.69,29.88,256.83,66.07,8.77,2,0,23.95,119.08,5132.39,21.09,76.41,0.46,1,1,1,2,20,1,2,0,0
4,2,27.71,6.64,31.23,207.65,43.65,7.25,3,2,37.52,110.96,2864.13,34.82,77.44,0.5,1,0,1,2,20,3,2,0,0
2,1,22.48,6.6,19.54,119.29,82.34,4.64,3,1,27.3,126.87,5923.95,30.93,83.28,0.8,1,1,1,2,20,3,0,0,2
4,3,14.65,7.24,14.1,111.15,73.23,6.7,2,2,9.89,89.51,4205.16,34.26,77.47,0.76,1,1,1,2,30,3,0,0,0
3,1,14.22,5.63,25.22,293.35,76.19,6.75,0,2,28.53,109.93,5249.81,22.93,74.19,0.72,1,1,1,2,30,1,2,0,2
1,0,24.29,7.79,22.83,118.45,36.97,8.13,1,1,29.26,94.61,5997.78,29.77,71.22,0.84,2,1,1,2,20,3,2,0,2
3,1,14.36,6.36,20.61,152.66,71.76,5.06,1,2,54.46,131.16,5770.52,19.84,79.37,0.68,2,1,1,2,30,3,2,0,2
4,1,8.3,5.41,24.12,64.32,74.6,6.96,3,1,16.4,99.14,3552.08,13.27,79.68,0.55,0,1,1,2,30,1,2,0,0
4,0,39.7,6.16,20.78,213.89,49.46,10.08,0,0,20.64,111.86,5605.1,26.35,89.46,0.39,3,1,1,0,10,0,2,0,2
1,0,12.63,6.65,22.13,288.21,91.96,7.56,2,1,9.21,82.63,2974.35,31.77,74.35,0.33,1,1,1,2,30,2,2,0,0
